iter	Passed	Remaining
0	77	77442
1	103	51571
2	125	41718
3	178	44524
4	211	42086
5	250	41533
6	275	39014
7	318	39494
8	340	37537
9	381	37735
10	420	37804
11	462	38104
12	499	37934
13	544	38339
14	590	38807
15	631	38852
16	680	39344
17	730	39866
18	767	39605
19	807	39574
20	866	40387
21	913	40621
22	955	40587
23	993	40413
24	1046	40799
25	1091	40876
26	1116	40217
27	1166	40482
28	1210	40546
29	1250	40447
30	1296	40511
31	1340	40539
32	1372	40220
33	1410	40064
34	1451	40009
35	1497	40107
36	1537	40014
37	1578	39953
38	1617	39866
39	1665	39970
40	1713	40071
41	1757	40096
42	1798	40022
43	1845	40104
44	1888	40071
45	1922	39880
46	1960	39752
47	2003	39745
48	2039	39592
49	2092	39762
50	2150	40023
51	2191	39948
52	2240	40028
53	2285	40035
54	2328	40000
55	2370	39952
56	2413	39934
57	2435	39553
58	2476	39495
59	2508	39294
60	2553	39309
61	2604	39408
62	2657	39525
63	2702	39525
64	2748	39536
65	2796	39579
66	2852	39722
67	2900	39760
68	2949	39792
69	3005	39926
70	3068	40154
71	3152	40629
72	3221	40908
73	3292	41204
74	3352	41346
75	3425	41641
76	3521	42207
77	3661	43282
78	3732	43518
79	3876	44576
80	4010	45503
81	4066	45524
82	4169	46063
83	4299	46889
84	4373	47075
85	4423	47014
86	4469	46906
87	4527	46917
88	4580	46887
89	4628	46795
90	4656	46509
91	4715	46543
92	4769	46515
93	4814	46404
94	4867	46372
95	4924	46368
96	4978	46350
97	5026	46260
98	5082	46252
99	5141	46270
100	5194	46232
101	5221	45970
102	5275	45939
103	5332	45939
104	5365	45736
105	5421	45723
106	5474	45689
107	5506	45481
108	5555	45413
109	5595	45272
110	5648	45239
111	5680	45036
112	5713	44845
113	5740	44610
114	5789	44552
115	5845	44547
116	5905	44569
117	5944	44431
118	5993	44370
119	6038	44278
120	6097	44291
121	6155	44295
122	6186	44111
123	6240	44086
124	6293	44056
125	6336	43951
126	6392	43943
127	6442	43887
128	6492	43834
129	6550	43839
